Id,SampleEventId,InputFileId,SpecConductivity,pHValue,DO,DOUnits,DOC,DOCUnits,NH4,NH4Units,SRP,SRPUnits,NO3,NO3Units,TDN,TDNUnits,TN,TNUnits,TDP,TDPUnits,TP,TPUnits,OtherElementsReported,StatisticalPooling,SampleSize,WaterSampleId,Notes
3005,3254,2,42.3,7.286667,NA,NA,202.7,umol_L,7,umol_L,1.4,umol_L,-999999999,umol_L,-999999999,umol_L,7.384,umol_L,0.29,umol_L,0.36,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20161108""]}","{""sample date and time"":[""2016-11-08T20:48:00""]}"
3006,3255,2,35.5,6.983333,NA,NA,232.4,umol_L,4,umol_L,2,umol_L,4.1,umol_L,15.63,umol_L,16.05,umol_L,-999999999,umol_L,0.032,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20161213""]}","{""sample date and time"":[""2016-12-13T19:30:00""]}"
3007,3256,2,29.9,6.9,NA,NA,563.9,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,18.6,umol_L,18.5,umol_L,1.1,umol_L,1.2,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170412""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-04-12T17:32:00""]}"
3008,3257,2,28.7,6.72,NA,NA,556.9,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,12.83,umol_L,12.79,umol_L,0.13,umol_L,0.16,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170510""]}","{""sample date and time"":[""2017-05-10T20:00:00""]}"
3009,3258,2,19.6,6.76,NA,NA,520.4,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,11.91,umol_L,17.73,umol_L,0.097,umol_L,0.45,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170517""]}","{""sample date and time"":[""2017-05-17T17:35:00""]}"
3010,3259,2,17.4,6.69,NA,NA,445.7,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,11.88,umol_L,11.19,umol_L,0.16,umol_L,0.19,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170525""]}","{""sample date and time"":[""2017-05-25T16:10:00""]}"
3011,3260,2,21.9,6.52,NA,NA,562.2,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,14.47,umol_L,14.1,umol_L,0.29,umol_L,0.36,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170608""]}","{""sample date and time"":[""2017-06-08T16:45:00""]}"
3012,3261,2,19.4,6.43,NA,NA,374.1,umol_L,4.9,umol_L,-999999999,umol_L,-999999999,umol_L,16.72,umol_L,17.1,umol_L,-999999999,umol_L,0.032,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170614""]}","{""sample date and time"":[""2017-06-14T17:20:00""]}"
3013,3262,2,12.2,6.475,NA,NA,377.4,umol_L,6.4,umol_L,-999999999,umol_L,-999999999,umol_L,16.23,umol_L,14.3,umol_L,-999999999,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170620""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-06-20T15:30:00""]}"
3014,3263,2,15.4,6.655,NA,NA,340,umol_L,11.1,umol_L,1.1,umol_L,-999999999,umol_L,8.327,umol_L,-999999999,umol_L,0.032,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170627""]}","{""sample date and time"":[""2017-06-27T15:08:00""]}"
3015,3264,2,16,6.565,NA,NA,338.1,umol_L,5.2,umol_L,1.4,umol_L,-999999999,umol_L,8.07,umol_L,7.748,umol_L,0.12,umol_L,11.58,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170629""]}","{""sample date and time"":[""2017-06-29T15:01:00""]}"
3016,3265,2,20.5,6.845,NA,NA,276,umol_L,14.4,umol_L,-999999999,umol_L,-999999999,umol_L,7.37,umol_L,8.655,umol_L,0.27,umol_L,0.32,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170706""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-07-06T15:43:00""]}"
3017,3266,2,25.6,6.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,umol_L,0.16,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170710""]}","{""sample date and time"":[""2017-07-10T15:38:00""]}"
3018,3267,2,25.3,6.725,NA,NA,261.3,umol_L,6.5,umol_L,-999999999,umol_L,-999999999,umol_L,9.084,umol_L,9.884,umol_L,0.552,umol_L,1,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170717""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-07-17T15:39:00""]}"
3019,3268,2,29,7.175,NA,NA,260.9,umol_L,-999999999,umol_L,1.2,umol_L,8.741,umol_L,9.434,umol_L,-999999999,umol_L,0.375,umol_L,1.08,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170725""]}","{""sample date and time"":[""2017-07-25T15:20:00""]}"
3020,3269,2,28.6,7,NA,NA,223.9,umol_L,-999999999,umol_L,1.2,umol_L,-999999999,umol_L,10.11,umol_L,9.019,umol_L,0.13,umol_L,0.19,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170802""]}","{""sample date and time"":[""2017-08-02T15:22:00""]}"
3021,3270,2,26,7.035,NA,NA,520.7,umol_L,3.69,umol_L,-999999999,umol_L,-999999999,umol_L,13.49,umol_L,15.94,umol_L,0.25,umol_L,0.352,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170808""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-08-08T14:57:00""]}"
3022,3271,2,35.7,7.105,NA,NA,163.6,umol_L,-999999999,umol_L,-999999999,umol_L,3.78,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,0.032,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170822""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-08-22T15:55:00""]}"
3023,3272,2,49.9,7.375,NA,NA,155.1,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,0.065,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20170911""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-09-11T15:35:00""]}"
3024,3273,2,35,7.246667,NA,NA,422.8,umol_L,8.005,umol_L,-999999999,umol_L,-999999999,umol_L,13.44,umol_L,12.89,umol_L,0.68,umol_L,1.1,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20171012""]}","{""sample date and time"":[""2017-10-12T15:15:00""]}"
3025,3274,2,39.3,7.44,NA,NA,237,umol_L,8.334,umol_L,-999999999,umol_L,4.4,umol_L,-999999999,umol_L,-999999999,umol_L,0.65,umol_L,0.71,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""COMO.SS.20171115""]}","{""sample date and time"":[""2017-11-15T19:00:00""]}"
